state,x,y
Maranhão,160,160
Mato Grosso,-10,20
Mato Grosso Do Sul,0,-100
Pará,30,175
Acre,-260,90
Ceará,250,165
Amazonas,-170,175
Bahia,200,45
Minas Gerais,170,-65
Tocantins,110,70
Piauí,200,108
Rio De Janeiro,222,-135
São Paulo,100,-125
Espírito Santo,245,-75
Rio Grande Do Sul,40,-265
Goiás,80,-15
Santa Catarina,70,-220
Pernambuco,260,105
Paraíba,280,130
Rio Grande Do Norte,295,160
Amapá,40,260
Roraima,-100,260
Rondônia,-135,60
Sergipe,295,70
Paraná,60,-175
Df,115,-20
Alagoas,310,86
